00415061;188.247.38.34;Калач;5;5
00415061-GW;188.247.38.33;Калач;150;5
00415090;92.39.107.70;Кмш 7мкр;5;45
00415090-GW;92.39.107.69;Кмш 7мкр;150;45
00415095;92.39.104.190;Титан (ц.прох);5;85
00415095-GW;92.39.104.189;Титан (ц.прох);150;85
00415097;217.149.183.6;Пересвет Юг;5;125
00415097-GW;217.149.183.5;Пересвет Юг;150;125
00415100;94.233.51.114;Кмш Меленка;5;165
00415100-GW;94.233.51.114;Кмш Меленка;150;165
00415103;213.234.9.126;-;5;205
00415103-GW;213.234.9.125;-;150;205
00415113;92.39.111.34;-;5;245
00415113-GW;92.39.111.33;-;150;245
00415117;213.234.13.110;-;5;285
00415117-GW;213.234.13.109;-;150;285
00415119;217.149.180.154;-;5;325
00415119-GW;217.149.180.153;-;150;325
00415123;92.39.105.238;-;5;365
00415123-GW;92.39.105.237;-;150;365
00415126;188.133.180.244;-;5;405
00415126-GW;188.133.180.1;-;150;405
00415129;217.149.180.162;-;5;445
00415129-GW;217.149.180.161;-;150;445
00415130;188.247.49.18;-;5;485
00415130-GW;188.247.49.17;-;150;485
00415135;213.234.4.94;-;5;525
00415135-GW;213.234.4.93;-;150;525
00415139;92.39.110.238;-;5;565
00415139-GW;92.39.110.237;-;150;565
00415140;194.186.254.126;-;5;605
00415140-GW;194.186.254.125;-;150;605
00415141;213.234.4.26;-;5;645
00415141-GW;213.234.4.25;-;150;645
00415142;94.233.51.126;-;5;685
00415142-GW;94.233.51.125;-;150;685
00415143;213.234.7.150;-;305;5
00415143-GW;213.234.7.149;-;450;5
00415145;213.234.20.166;-;305;45
00415145-GW;213.234.20.165;-;450;45
00415147;217.149.189.182;-;305;85
00415147-GW;217.149.189.181;-;450;85
00415151;185.125.73.218;-;305;125
00415151-GW;185.125.73.217;-;450;125
00415152;188.247.56.198;-;305;165
00415152-GW;188.247.56.197;-;450;165
00415153;188.247.38.130;-;305;205
00415153-GW;188.247.38.129;-;450;205
00415154;188.247.48.182;-;305;245
00415154-GW;188.247.48.181;-;450;245
00415155;188.247.48.74;-;305;285
00415155-GW;188.247.48.73;-;450;285
00415156;185.125.73.106;-;305;325
00415156-GW;185.125.73.105;-;450;325
00415159;79.122.231.187;-;305;365
00415159-GW;79.122.231.1;-;450;365
00415160;188.247.37.210;-;305;405
00415160-GW;188.247.37.209;-;450;405
00415161;92.39.98.30;-;305;445
00415162;213.234.22.125;-;305;485
00415162-GW;213.234.22.125;-;450;485
00415163;188.247.54.94;-;305;525
00415163-GW;188.247.54.93;-;450;525
00415164;185.183.48.26;-;305;565
00415164-GW;185.183.48.25;-;450;565
00415165;188.247.38.242;-;305;605
00415165-GW;188.247.38.241;-;450;605
00415166;217.149.180.150;-;305;645
00415166-GW;217.149.180.149;-;450;645
00415167;213.234.5.18;-;305;685
00415167-GW;213.234.5.17;-;450;685
00415171;188.133.180.196;-;605;5
00415171-GW;188.133.180.1;-;750;5
00415172;188.133.180.215;-;605;45
00415172-GW;188.133.180.1;-;750;45
00415173;188.133.180.233;-;605;85
00415173-GW;188.133.180.1;-;750;85
00415176;46.52.243.149;-;605;125
00415176-GW;46.52.243.1;-;750;125
00415177;81.22.11.50;-;605;165
00415177-GW;81.22.11.49;-;750;165
00415178;188.247.39.238;-;605;205
00415178-GW;188.247.39.237;-;750;205
00415180;188.133.180.243;-;605;245
00415180-GW;188.133.180.1;-;750;245
00415181;79.122.231.86;-;605;285
00415181-GW;79.122.231.1;-;750;285
00415190;79.122.231.118;-;605;325
00415190-GW;79.122.231.1;-;750;325
00415191;213.234.12.50;-;605;365
00415191-GW;213.234.12.49;-;750;365
00415192;213.234.6.14;-;605;405
00415192-GW;213.234.6.13;-;750;405
00415193;92.39.108.102;-;605;445
00415193-GW;92.39.108.101;-;750;445
00415194;188.133.180.242;-;605;485
00415194-GW;188.133.180.1;-;750;485
00415201;217.149.180.166;-;605;525
00415201-GW;217.149.180.165;-;750;525
00415205;195.218.203.18;-;605;565
00415205-GW;195.218.203.17;-;750;565
00415212;217.149.181.58;-;605;605
00415212-GW;217.149.181.57;-;750;605
00415217;188.247.43.82;-;605;645
00415217-GW;188.247.43.81;-;750;645
00415219;213.234.26.218;-;605;685
Google.ru;8.8.8.8;qweqweqweqweqw;905;5
localhost;127.0.0.1;1;905;45
localhost2;127.0.0.1;321;1050;45
Phone;192.168.0.104;Телефон;905;85
